stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.035013300002901815,,0.016478399993502535,0.035013300002901815,0.5178492999984883,0.5178492999984883,0.5350771999947028,0.8189857999968808,1.1630774000077508,right,10.0,1,1,0.5735005000024103,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
1,2,8.0,1.1677519000077154,,1.1631753999972716,1.1677519000077154,1.6699521999980789,1.6699521999980789,1.6699521999980789,1.9699142000026768,2.1054939000023296,right,8.0,1,1,0.4275662000000011,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
2,2,6.0,2.1203329999989364,,2.105582799995318,2.1203329999989364,2.6047780999942916,2.6047780999942916,2.62119829999574,2.9045138000074076,2.922584400002961,right,6.0,1,1,0.3114296999992803,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
3,1,4.0,2.937887000007322,,2.9226542999967933,2.937887000007322,3.438280400005169,3.438280400005169,3.438280400005169,3.7388270999945235,3.7236065000033705,left,-4.0,0,0,0.28030300000682473,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
4,1,5.0,3.7388270999945235,,3.723677799993311,3.7388270999945235,4.222665399996913,4.222665399996913,4.239311199999065,4.522925700002816,5.158278100003372,left,-5.0,1,1,0.9269759000017075,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
5,1,5.0,5.17359989999386,,5.158344800001942,5.17359989999386,5.674430900005973,5.674430900005973,5.674430900005973,5.974362699998892,6.142892200005008,left,-5.0,0,0,0.459448199995677,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
6,1,6.0,6.158228500004043,,6.142961599995033,6.158228500004043,6.642361200007144,6.642361200007144,6.6595965000014985,6.942262600001413,7.26061579999805,left,-6.0,1,1,0.6162627000012435,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
7,1,6.0,7.276131200007512,,7.260690399998566,7.276131200007512,7.759967499994673,7.759967499994673,7.77714210000704,8.060102600007667,8.295157300002757,right,6.0,1,1,0.529934799997136,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
8,1,6.0,8.310594099995797,,8.29523319999862,8.310594099995797,8.794435999996495,8.794435999996495,8.811086600006092,9.094516900004237,9.27962529999786,right,6.0,1,1,0.46904569999605883,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
9,1,5.0,9.294902499997988,,9.279697300007683,9.294902499997988,9.77891219999583,9.77891219999583,9.795598500000779,10.079071400003158,10.34805650000635,left,-5.0,1,1,0.5656067999952938,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
10,1,5.0,10.362647700007074,,10.348193400001037,10.362647700007074,10.864182200006326,10.864182200006326,10.864182200006326,11.163830300007248,11.3316657999967,left,-5.0,1,1,0.4515737000037916,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
11,1,5.0,11.34738269999798,,11.331811600000947,11.34738269999798,11.830950300005497,11.830950300005497,11.847621199995046,12.131573699996807,12.316189100005431,right,5.0,1,1,0.4728180000092834,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
12,1,4.0,12.331854699994437,,12.316265800007386,12.331854699994437,12.815654899997753,12.815654899997753,12.83241810000618,13.115950199993677,13.401110799997696,right,4.0,1,1,0.5695512000093004,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
13,1,4.0,13.41613789999974,,13.401181299996097,13.41613789999974,13.91666940000141,13.91666940000141,13.91666940000141,14.217145799993887,14.435516600002302,left,-4.0,1,1,0.5108656000084011,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
